,summary,source_file
21,보 도 자 료 년 월 일 공보 배포시부터 취급하여 주시기 바랍니다 결정시까지 한국은행 기준금리를 현 수준에서 유지하기로 하였음 붙임 참조 통화정책방향 통화정책은 당분간 완화기조를 유지해 나갈 것임 금융시장에서는 부동산가격,2009_국문보도자료(0910).pdf
22,이자료는 배포시부터 취급하여 주시기 바랍니다공보 결정시까지 한국은행 기준금리를 현 수준에서 유지하기로 하였음 붙임 참조 통화정책방향 통화정책은 당분간 완화기조를 유지해 나갈 것임 부동산시장에서는 금융시장,2009_국문보도자료(0911).pdf
23,보 도 자 료 년 월 일 공보 시까지 한국은행 기준금리를 현 수준에서 유지하기로 하였음 붙임 참조 통화정책방향 통화정책은 당분간 완화기조를 유지해 나갈 것임 환율 금융시장,2009_국문보도자료(0912).pdf
24,공보 이자료는 배포시부터 취급하여 주시기 년 월 일 시까지 한국은행 기준금리를 현 수준에서 유지하기로 하였음 붙임 향후 성장경로의 불확실성은 상존하 향후 통화정책은 당분간 완화 기조를 유지할 것임 금융시장에서는,2010_국문보도자료(1001).pdf
25,공보 년 월 일 한국은행 기준금리를 현 수준에서 유지하 여 통화정책을 운용하기로 하였음 붙임 향후 성장경로의 불확실성은 상존하고 있는 것으로 판단됨 부동산가격은 오름세가 제한되고 있음 금융시장에서는 큰 폭의 변동을 보임,2010_국문보도자료(1002).pdf
26,공보 년 월 일 통화정책방향 수준에서 유지하기로 하였음 붙임 참조 금융통화위원회 향후 성장경로의 불확실성은 상존하고 있는 것으로 판단됨 금융시장에서는 가격이 완만하게 상승하였으며 거래는,2010_국문보도자료(1003)(최종).pdf
27,공보 이자료는 배포시부터 취급하여 주시기 바랍니다 통화정책방향 및 한국은행 보도자료 에서 유지하기로 하였음 붙임 향후 성장경로의 불확실성은 상존하고 있는 것으로 판단됨 시장에서는 거래가 활발하지 않은 가운데 가격 오름세가 제한되고 있음 통화정책은 당분간 완화기조를 유지하되 앞으로,2010_국문보도자료(1004)(최종).pdf
28,공보 년 월 일 통화정책방향 기준금리를 현 수준에서 유지하기로 하였음 붙임 최근 세계경제는 신흥시장국 경제가 호조를 지속하고 있는 가운데 미국 위험이 잠재하고 있다 다만할 가능성은 상존한다고 국내 경기는 회복세가 뚜렷해지고 있는 모습이다 수출이 호조를 지속하고 있고 고용사정은 여전히 개선되고 있으며 국내 경기의 회복세는 앞으로도 이어질 것으로 전망된다 소비자물가는 이상기후에 따른 농축수산물가격 상승 등으로 오름세 가 일시 확대되었다 앞으로 물가는 당분간 안정된 모습을 보일 것 부동 산시장에서는 거래가 활발하지 않았다 주택담보대출의 증가규모에 변화를 보이지 않고 있다 주택거래 부진 통화정책은,2010_국문보도자료(1005)(최종).pdf
29,공보 이자료는 배포시부터 취급하여 주시기 바랍니다 출처 호 붙임 참조 통화정책방향 결정시까지 한국은행 기준금리를 현 수준에서 최근 세계경제는 신흥시장국 경제가 호조를 지속하고 있는 가운데 미국 는 위험이 잠재하 고 있다 국내경기는 상승세를 지속하고 있는 것으로 보인다 소비 투자 투자는 민간부문을 중심으로 회복세를 지속하고 고 설비투자도 국내경기의 상승세는 앞으로도 이어질 것으로 전망되나 소비자물가는 석유류가격을 중심으로 오름세가 소폭 확대되었다 앞으로 소비자물가동향 부동산시장에서는 수도권을 중심으로 주택매매가격이 약세 를 보이고 있다 주 택담보대출은 주택거래가 활발하지 않았음에도 불구하고 증가규모,2010_국문보도자료(1006)(최종).pdf
30,년 월 일 공보 호 이자료는 배포시부터 취급하여 주시기 바랍니다 국제금융시장 불안 주요국 경기의 변동성 확대 우려 다만 이러한 위험성은 배제할 수 없다 국내경기는 상승세를 지속하고 있다 수출이 높은 신장세를 보이고 내수가 꾸준히 증가하고 있다 앞으로 국내경기는 해외 위험요인이 상존하는 가운데 상승세를 이어 갈 것으로 전망된다 소비자물가는 상승률이 대 중반에 머물고 있다 소비자물가 부동산시장에서는 주택매매가격이 수도권은 하락하 고 지방은 상승하는 추세가 지속되고 있다 금융시장에서는주가와 환율은 큰 폭의 변동 을 나타내었다 주택담보대출의 증가규모는 확대되었다,2010_국문보도자료(1007)(최종).pdf
31,공보 이자료는 배포시부터 취급하여 주시기 년 월 일 통화정책방향 결정시까지 한국은행 기준금리를 현 수준에서 유지하기로 하였음 붙임 국제금융시장 불안이 완화되고 있다 일부 유럽국가의 재 정문제로 국내경기는 상승세를 지속하고 있다 고용사정도 계속 개선추세를 나타내고 있다 앞으로 국내경기는 해외 위험요인이 상존하는 가운데 상승세를 이어 갈 것으로 전망된다 소비자물가는 상승률이 대 중반에 머물고 있다 소비자물가 부동산시장에서는 주택매매가격이 수도권은 하락하 고 지방은 상승하는 추세가 지속되고 있다 금융시장에서는 기준금리 인상의 영향 등으로 금리가 상승하였고 한편 주택담보대출은 주택거래가 활 발하지 않았음에도 불구하고,2010_국문보도자료(1008)(최종).pdf
32,년 월 일 공보 시까지 한국은행 기준금리를 현 수준에서 유지하기로 하였음 붙임 참조 최근를 지속하고 있으며 세계경제는 신흥시장국 경제가 호조를 앞으로 주요국 경기의 변동성 확대 등이 세계경제의 위험요인으로 작용할 가능성이 있다 국내경기는 상승세를 지속하고 있다 수출이 계속 호조를 보이고 있고 소 비가 꾸준히 증가하고 있다 앞으로 국내경기는 해외 위험요인이 상존하는 가운데 상승세를 이어 갈 것으로 전망된다 소비자물가는 상승압력이 계속 커질 것으 로 예상된다 현재의 부동산시장에서는 주택매매가격이 수도권은 하락하고 지방은 상승하는 현상이 지속되었다 금융시장에서는 단기시장금리가 상승세를 이어갔 으나 은행 여수신금리와 주택담보대출은 주택거래가 활발하지 않은 가운데 증가폭이 다소 줄어들었다,2010_국문보도자료(1009)(최종).pdf
33,공보 이자료는 배포시부터 취급하여 주시기 바랍니다 출처 년 월 일 결정시까지 한국은행 기준금리를 현 수준에서 유지하기로 하였음 붙임 세계경제는 신흥시장국 경제가 호조를 지속하고 있으며 앞으로 세계경제의 위험요인이 될 가능성이 국내경기는 소비가 주춤하였으나 수출이 호조를 지속하고 있다 고용사정도 민간부문을 중심으로 개선추세를 나타내고 있다 앞으로 국내경기는 해외 위험요인이 상존하는 가운데 상승기조를 이 어갈 것으로 전망된다 소비자물가는 농산물가격 급등 등으로 상승률이 높아졌으며 앞으로 부동산시장에서는 주택매매가격이 수도권은 하락하고 지방은 상승하는 현상이 지속되었다 금융시장에서는 외국인투자자금 유입 확대 주택담보대출은 입주물량,2010_국문보도자료(1010)(최종).pdf
34,공보 년 월 일 한국은행의 기준금리를 상향조정함에 따라 향후 통화정책방향도 변경됨 붙임 참조 현재 세계경제는 신흥시장국 경제가 호조를 지속하고 있으며 선진국은 완만한 회복세 앞으로 세계경제의 위험요인이 될 수 있다 국내경기는 설비투자가 주춤하고 수출이 호조를 고용사정도 민간부문을 중심으로 개선추세를 나타내고 있다 앞으로 국내경기는 해외 위험요인이 상존하는 가운데 상승기조를 이 어갈 것으로 전망된다 소비자물가는 농산물가격을 중심으로 상승률이 더욱 높아졌다 앞으 로 채소류가격의 안정가 상승압력이 지속될 것으로 예상된다 국제원자재 부동산시장에서는 지방의 주택매매가격 상승세가 지속되는 가운데 수도권이 하락폭 축소 움직임을 주택담보대출은 주택거래가 활발 하지 않은 가운데서도 비교적 큰 폭의 증가를 지속하였다,2010_국문보도자료(1011)(최종).pdf
35,공보 이자료는 배포시부터 취급하여 년 월 일 통화정책방향 결정시까지 한국은행 기준금리를 현 수준에서 유지하기로 하였음 붙임 현재 세계경제는 신흥시장국 경제가 호조를 지속하고 있으며 선진국은 완만한 회복세 앞으로 세계경제의 위험요인으로는 국내경기는 상승기조를 유지하고 있는 것으로 판단된다 건설투자가 계속 부진하고 수출이 호조를 지속하고 있다 고용사정은 민간부문을 중심으로 개선 추세를 나타내고 있다 앞으로 국내경기는 해외 위험요인이 상존하는 가운데 상승기조를 이 어갈 것으로 전망된다 소비자물가는 채소류가격의 안정 등으로 상승률이 낮아졌으나 부동산시장에서는 지방의 주택매매가격 상승세가 지속되고 수도권의 하락폭이 축소되었다 금융시장에서는 유럽 재정문제 재부각 지정학적 위험 장기시장금리는 국고채 발행 물량 축소계획 외국인채권매수 지속 등으로 하락하였다 주택담보대 출은 주택거래가 다소 늘어난 가운데 증가폭이 확대되었다,2010_국문보도자료(1012)(최종).pdf
36,공보 년 월 일 이자료는 배포시부터 취급하여 주시기 바랍니다 붙임 참조 통화정책방향 현재 세계경제는 신흥시장국 경제가 호조를 지속하고 있으며 선진국 경기도 완만한 회복세 앞으로 세계경제는 완만한 회복세를 지속할 것으로 전망된다 국내경기는 설비투자가 증가하고 수출이 호조를 지속하는 등 고용사정도 민간 부문을 중심으로 개선추세를 나타내고 있다 앞으로 국내경기는 해외 위험요인이 상존하는 가운데 상승기조를 이 어갈 것으로 전망된다 지난달 상승 지난달에 이르렀는데 이에 앞으로 물가상승압력이 지속되고 인플레이션 기대심리 가 높아질 것 금융시장에서는 주가가 크게 상승하고 환율은 하락하였다 장기시장금리 는 물가상승 기대 외국인의 채권 순매도 등의 영향으로 상승하였다 주택담보대출은 주택거래가 늘어난 가운데 큰 폭으로 증가하였다 통화정책의 방향과 역할,2011_국문보도자료(1101)(최종).pdf
37,공보 년 월 일 호 통화정책방향 기준금리를 현 수준에서 유지하기로 하였음 붙임 최근 세계경제를 보면 앞으로 세계경제는 완만한 회복세를 지속할 것으로 전망되나 일부 유럽국가의 재 정문제로 국내경기는 수출이 높은 신장세를 지속하고 내수가 꾸준히 증가하는 등 고용사정도 민간부문을 중심으로 개 선추세를 나타내고 있다 앞으로 국내경기는 해외 위험요인이 상존하는 가운데 상승기조를 이 어갈 것으로 전망된다 소비자물가 상승률은 석유류 및 농산물 가격을 중심으로 크게 높아 졌다 앞으로 경기상승이 이어지면서 높은 인플레이션 기대심리가 유지되고 물가상승압력도 지속될 전망이다 부동산시장에서는 전세가격이 계속 상승하였으며 주택매매가격은 지방에서 오름세 가 지속되었다 주가는 경기상 승세에 힘입어 큰 폭 상승하였다가 반락하였으며 환율은 하락하였 다 주택담보대출은 계절요인 등으로 소폭 증가에 그쳤다 통화정책의 방향과 역할,2011_국문보도자료(1102)(최종).pdf
38,공보 년 월 일 통화정책방향 일까지 한국은행 기준금리를 상향조정 하고 아울러 앞으로 세계경제는 북아프리카중 동지역의 정정불안한 국제원자재가격 상승 일부 국내경기는 수출이 높은 신장세를 지속하고 내수가 꾸준히 증가하는 등 고용사정도 민간부문을 중심으로 개 선추세를 나타내고 있다 앞으로 국내경기는 해외 위험요인이 상존하는 가운데 상승기조를 이 어갈 것으로 전망된다 소비자물가 상승률은 지난달 수준으로 높아졌다 물가오름세는 지속될 가능성이 높다 앞으로 인플레이션 기대심리 증대 주택매매가격은 계속 상승하였고 지방에서는 하락 움직임이 주택담보대출은 전월보다 증가폭이 다소 확대되었다 통화정책은 국내외 금융경제상황을 종합적으로,2011_국문보도자료(1103)(최종).pdf
39,공보 이자료는 배포시부터 취급하여 주시기 년 월 일 통화정책방향 수준에서 유지하기로 하였음 붙임 참조 는 것으로 전망된다 북아프리카중동지역의 정정불안가 국내경기는 소비와 설비투자가 주춤하였으나 수출이 높은 신장세를 보 고용사정도 민간부문을 중심 으로 개선추세를 지속하고 있다 앞으로 국내경기는 해외 위험요인이 상존하는 가운데 상승기조를 이 어갈 것으로 전망된다 률은 석유류 및 개인서비스 가격 상승 등으로 소비자물가 앞으로 물가오름 세가 지속될 가능성이 커지고 있다 기대심리 증대 주택매매가격은 수도권에서 상승움직임이 이어지고 지방에서는 오름세가 확대되었다 금융시장에서는 해외위험요인의 영향으로 가격변수가 큰 폭의 등락을 보인 가운데 장기시장금리는 하락 후 소폭 반등하였다 주택담보대출은 전월보다 증가폭이 확대되었다 통화정책은 국내외 금융경제상황을 종합적으로,2011_국문보도자료(1104)(최종).pdf
40,공보 년 월 일 성명 통화정책방향 붙임 참조,2011_국문보도자료(1105)(최종).pdf
41,공보 년 월 일 붙임 참조 통화정책방향 세계경제전망는 모습을 보이고 있다 전망 앞으로 세계경 제는 완만한 회복세를 이어갈 것으로 국내경기는 내수가 주춤하였으나 수출이 높은 신장세를 보인 데 힘입어 상승기조를 고용사정도 민간부문을 중심으로 개선추세를 지속하고 있다 앞으로 국내경기는 해외 위험요인이 상존하는 가운데 상승기조를 이 어갈 것으로 전망된다 소비자물가 상승률은 지난달에도 대 초반의 여전히 높은 수준을 나 타내었다 것으로 예상된다 앞으로 근원인플레이션 율은 대 중반으로 높아졌고 앞으로 도 농산물 주택매매가격은 수도권에서는 상 승 움직임이 멈추었으며 지방에서는 높은 오름세가 계속되었다 전세 가격은 계절적 비수기 등의 영향으로 전월보다 낮은 상승률을 보였다 주택담보대출은 전월보다는 증가폭 이 축소되었으나 꾸준한 증가세를 나타내었다 통화정책은 다음,2011_국문보도자료(1106)(최종).pdf
42,공보 이자료는 배포시부터 취급하여 주시기 바랍니다 출처 호 현 수준에서 유지하 여 통화정책을 운용하기로 하였음 붙임 앞으로 세계경제는 회복세를 이어갈 것으로 전망된다 국내경기는 수출이 견조한 신장세를 보이고 내수가 완만하게 증가하 고용사정도 민간부문을 중심으로 개선추세를 지속하고 있다 앞으로 국내경기는 해외 위험요인이 상존하는 가운데 상승기조를 이 어갈 것으로 전망된다 소비자물가 상승률은 일부 농축산물가격의 큰 폭 오름에 기인 앞으로 경기상승기조에 따른 수요압력 인플레이션 기대심리 등으로 물가상승률이 이어질 전망 근원인플레이션율 가공식품가격 및 개인서비스요금이 계속 오르면서 주택매매가격은 수도권에서는 약세를 나타내었으며 지방에서는 오름폭이 축소되었다 전세가격은 계절적 비수기 등의 영향으로 상승률이 전월보다 낮아졌다 금융시장 동향주가 환율 등 가격변수의 변동폭이 확대되었다 주택담보대출은 꾸준한 증가세를 나타내었다 통화정책은 국내외 금융경제상황을 종합적으로,2011_국문보도자료(1107)(최종).pdf
43,년 월 일 공보 현 수준에서 유지하 여 통화정책을 운용하기로 하였음 붙임 세계경제를 보면 신흥시장국 경제는 호조를 앞으로 세계경제는 회 복세를 이어갈 것으로 국내경기는 수출이 견조한 신장세를 보이고 내수가 완만하게 증가하 고용사정도 민간부문을 중심으로 개선추세를 지속하고 있다 성장 경로의 불확실성이 높아진 것으로 판단된다 는 기대심리 앞으로 경기회복기조에 근원인플레이션율은 수준으로 상 승하였으며 당분간 오름세가 지속될 것으로 보인다 주택매매가격은 수도권에서는 약세를 지방에서는 전월과 비슷한 상승률을 나타내었 다 전세가격은 거래가 활발해지면서 상승률이 전월보다 높아졌다 월 들어 국제금융시장에서는에 크게 하락하고 환율은 상 승하였다 주택담보대출은 지난달에도 꾸준한 증가세를 나타내었다 앞으로 통화정책은 국내외를 면밀히 점검하면서 물가안정에 보다 중점을 두고 운용할 것,2011_국문보도자료(1108)(최종).pdf
44,년 월 일 공보 호 이자료는 배포시부터 취급하여 주시기 바랍니다 를 시까지 한국은행 기준금리를 현 수준에서 유지하기로 하였음 붙임 세계경제를 보면 신흥시장국 경제는 호조를 세계경제는 완만하나마 회복세를 이어갈 것으로 국내경제를 보면 수출이 계속 높은 신장세를 보이고 내수는 완만하게 증가하였다 고용사정도 민간부문을 중심으로 개선추세를 지속하였다 국내경제는 장기추세 수준의 성장을 이어갈 것으로 판단된다 소비자물가 상승률이 농산물가격의 큰 폭 앞으로 농산물가격 안정 물가상승률을 낮추는 요인 인플레이션 기대심리 근원인플 레이션율은 로 상승하였으며 당분간 높은 수준을 지속할 것으로 전망된다 주택매매가격은 수도권에서는 전월 수준이 유지되고 지방에 서는 오름폭이 확대되었다 전세가격은 상승률이 전월보다 높아졌다 앞으로 통화정책과,2011_국문보도자료(1109)(최종).pdf
45,공보 년 월 일 결정시까지 한국은행 기준금리를 현 수준에서 유지하기로 하였음 붙임 세계경제를 보면 신흥시장국 경제는 부진한 모습을 나타냈다 앞으로 세계경제는 완만하나마 회복세를 나타낼 것으로 국내경제를 보면 수출은 높은 신장세를 지속하고 내수는 완만한 증가세 를 나타내었다 취업자수 증가 폭이 축소되었으나 민간부문을 중심으로 한 개선추세가 이어지고 있다 국내경제는 장기추세 수준의 성장을 이어갈 것으로 전망되나 소비자물가 상승률은 농산물가격 안정에 힘입어 지난 달 로 낮 아졌다 물가상승률의 하락 속도는 완만할 것으로 예상된다 앞으로 농산물 근원인플레이션율은 전월과 비슷한 를 기록하 주택매매가격 은 수도권에서는 전월 수준이 유지되고 지방에서는 높은 오름세가 이어졌다 전세가격은 상승률이 더욱 높아졌다 금융시장에서는 해외 위험요인에 대한 불안심리 장기시장금리가 소폭 하락하였다 통화정책의 방향은,2011_국문보도자료(1110)(최종).pdf
46,공보 이자료는 배포시부터 취급하여 주시기 바랍니다 출처 년 월 일 결정시까지 한국은행 기준금리를 현 수준에서 유지하기로 하였음 붙임 세계경제를 보면 앞으로 세계경제는 완만하나마 회복세를 나타낼 것 국내경제를 보면 내수가 주춤하였으나 수출이 계속 크게 증가하였다 고용사정은 민간부문을 중심으로 개선추세를 지속하였다 국내경제는 장기추세 수준의 성장을 이어갈 것으로할 해외 위험요인 성장의 소비자물가 상승률은 농산물가격 안정에 힘입어 로 낮아졌 앞 으로 농산물가격 하락 공공요 금 인상 는 주택매매 가격은 전월 수준을 유지하였다 지방에서는 다소 둔화되었다 그리고 전세가격 상승률은 수도권과 지방에서 모두 전월보다 낮아졌다 금융시장에서는 금융통화위원회는 앞으로 국내외 경제의 위험요인을 면밀하게,2011_국문보도자료(1111)(최종).pdf
47,공보 년 월 일 통화정책방향 결정시까지 한국은행 기준금리를 현 수준에서 유지하기로 하였음 붙임 세계경제를 보면 앞으로 세계경제의 회복세 고용 사정은 민간부문을 중심으로 개선추세를 지속하였다 국내경제는 장기추세 수준의 성장세에서 크게 벗어나지 않 을 것으로 예상되나 해외 앞으로 농산물 가격 하락 및 공공요금 인상 주택 매매가격은 수도권에서는 약세를 보였으며 지방에서는 상승세를 이 어갔다 전세가격은 수도권에서는 상승률이 크게 낮아졌으나 지방에 서는 높은 상승률을 유지하였다 금융시장에서는은 계속 큰 폭으로 하 락하였고 장기시장금리는 하락하였다 금융통화위원회는 앞으로 국내외 경제의 위험요인을 면밀하게,2011_국문보도자료(1112)(최종).pdf
48,공보 년 월 일 통화정책방향 결정시까지 한국은행 기준금리를 현 수준에서 유지하기로 하였음 붙임 세계경제를 보면 출처 신흥시장국 경제의 성장세도 약화되었다 앞으로 세계경제의 회복세는 매우 완 만 할 것이며 국내경제를 보면 수출이 전월보다 감소하는 등 부진한 모습을 보였다 고용 면에 서는 취업자수가 민간부문을 중심으로 큰 폭 증가를 지속하였다 앞으로 국내경제의 성장세는 는 전망이다 앞으로 물가안정 요인이 될 것이나 주택시장을 보면 수도권에서는 매매가격이 약세를 지 속하였고 전세가격은 계절적 비수기 등의 영향으로 지 방에서는 매매가격과 전세가격의 오름세가 모두 둔화되었다 금융시장에서는 해외 위험요인에 대한 불안심리 등 장기시장금리는 그 간의 하락세를 멈추고 좁은 범위 내에서 등락하는 모습을 보였다 금융통화위원회와,2012_국문보도자료(1201)(최종).pdf
49,공보 년 월 일 를 시까지 한국은행 기준금리를 현 수준에서 유지하기로 하였음 붙임 세계경제를 보면유로지역에서는 경제활동이 부진하였다 신흥시장 국 경제의 성장세는 수출 둔화 등으로 약화되는 모습을 이어갔다 앞으로 세계경제의 회복세는 매우 완만할 것으로 예상되며 국내경제를 보면 그러나 고용 면에서는 민간부문을 중심으 로 취업자수의 증가세가 지속되고 있다 성장률이 장기추세로 회복될 것으로 전망된다 향후 월중 소비자물가 상승률이 전월보다 낮아졌고 물가안정 요인으로 작용할 것이나 앞으로 수요압력 완화 중동지역 지정학적 리스크 주택시장을 보면 지방에서는 매매가격과 전세가격이 전월과 비슷한 폭으로 상승하였다 금융시장에서는 장기시장금리는 계속 좁은 범위 내에서 등락하였다 금융통화위원회와,2012_국문보도자료(1202)(최종).pdf
50,공보 이자료는 배포시부터 취급하여 주시기 년 월 일 통화정책방향 한국은행 보도자료는 인터넷에도 수록되어 있음 붙임 참조 제 목 세계경제를 보면 유로지역에서는 경제활동이 부진하였다 신흥 시장국 경제의 성장세는 수출 둔화 등으로 약화되는 모습을 이어갔 다 앞으로 세계경제의 회복세는 완만할 것으로 예상되며 중동지역 지정학적 리스크 국내경제를 보면 성장세가 더 둔화되지는 않은 것으로 판단된다 건 설투자가 부진하였으나 소비와 설비투자가 증가하였고 수출도 꾸준 한 신장세를 보였다 고용 면에서는 민간부문을 중심으로 취업자수의 증가세가 지속되고 있다 국내경제의 성장률은 향후 장기추세 수준으로 회 복될 것 월중 소비자물가 상승률이 낮아진 농산물석유류 제외 근원 인플레이션율은 중동지역 지정학적 리스크 등 불안요인으로 잠재해 주택시장을 보면 수도권에서 매매가격은 약세를 지속하였고 전세가 격은 상승하였다 지방에서는 매매가격 및 전세가격의 상승률이 전월 보다 소폭 낮아졌다 국제금융시장에서는 금융통화위원회는 앞으로 물가안정목표를 중심선에서 안정되도록 통화정책을 운용해 나갈 것이며,2012_국문보도자료(1203)(최종).pdf
51,공보 이자료는 배포시부터 취급하여 주시기 바랍니다 통화정책방향 으로 한국은행 기준금리를 현 수준에서 유지하기로 하였음 붙임 세계경제를 보면 유로지역에서는 경제활동이 부진하였다 유럽은 신흥시장국 경제 의 성장세는 수출 둔화 등으로 약화되는 모습을 이어갔다 앞으로 세계경제의 회복세는 완만할 것으로 예상되며 최근 국내경제를 보면 수출증가세가 완만하게 회복되는 조짐을 보 고용 면에서 는 민간부문을 중심으로 취업자수의 증가세가 지속되고 있다 성장률은 장기추세 수준으로 회복될 전망이다 향후 단위소비자물가 상승률 로 낮아져 월중 물가동향 현재의 주택시장을 으며 매매가격은 수도권에서는 오름세가 유지되었다 었다 장기시장금리는 상승세를 지속하여 장단기금리 역전 현상이 완화되었다 금융통화위원회는 앞으로 물가안정목표를 중심선에서 안정되도록 통화정책을 운용해 나갈 것이며,2012_국문보도자료(1204)(최종).pdf
52,공보 년 월 일 통화정책방향 수준에서 유지하기로 하였음 붙임 참조 한국은행 보도자료 세계경제를 보면 미국은 일부 경제지표가 개선추세를 유로지역에서는 부진하였다 신흥시장국 경제의 성 장세는 수출 둔화 등으로 약화되는 모습을 이어갔다 중동지역 지정학적 리스크 상존 앞으로 세계경 제는 국내경제를 소비와 투자가 감소하면서 성장세의 회복이 주춤하였다 고용 면에 서는 민간부문을 중심으로 취업자수의 증가세가 지속되고 있다 성장률은 장기추세 수준으로 회복될 전망이다 향후 월중 소비자물가 상승률은 로 낮아졌고 근원인플레이션율도 전 월보다 하락하였다 중동지역 지정학적 리스크 주택시장을 보면 주택 시장의 동향을 금융시장에서는 주로 상황 및 주요국 경기 지표에 따라 변동하면서 환율은 하락하였으며 장기시장금리는 상승하였다 위원회와 금융통화위원회는 앞으로 국내외 위험요인을 면밀하게,2012_국문보도자료(1205)(최종).pdf
